course_name_canonical,department_count_any,department_count_curriculum_required,department_count_effective_required,departments_any,departments_curriculum_required,departments_effective_required,department_terms
고급프로그래밍언어,3,3,3,산업공학전공; 소재디자인공학전공; 수리빅데이터전공,산업공학전공; 소재디자인공학전공; 수리빅데이터전공,산업공학전공; 소재디자인공학전공; 수리빅데이터전공,산업공학전공:2-1; 소재디자인공학전공:2-2; 수리빅데이터전공:2-2
고등미적분학,1,1,1,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공:2-2
고분자가공,1,0,0,화학공학전공,,,화학공학전공:3-2
고분자가공1,1,1,1,고분자공학전공,고분자공학전공,고분자공학전공,고분자공학전공:4-1
고분자가공2,1,0,0,고분자공학전공,,,고분자공학전공:4-2
고분자공학개론1,1,1,1,고분자공학전공,고분자공학전공,고분자공학전공,고분자공학전공:2-2
고분자공학개론2,1,0,0,고분자공학전공,,,고분자공학전공:3-1
고분자기기분석1,1,1,1,고분자공학전공,고분자공학전공,고분자공학전공,고분자공학전공:2-2
고분자기기분석2,1,0,0,고분자공학전공,,,고분자공학전공:3-1
고분자기기분석실험,1,1,1,고분자공학전공,고분자공학전공,고분자공학전공,고분자공학전공:3-2
고분자기초실험,1,1,1,고분자공학전공,고분자공학전공,고분자공학전공,고분자공학전공:2-2
고분자물성,1,0,0,화학공학전공,,,화학공학전공:3-1
고분자물성1,1,1,1,고분자공학전공,고분자공학전공,고분자공학전공,고분자공학전공:3-1
고분자물성2,1,0,0,고분자공학전공,,,고분자공학전공:3-2
고분자복합재료,1,0,0,고분자공학전공,,,고분자공학전공:4-1
고분자분석설계,1,0,0,고분자공학전공,,,고분자공학전공:3-2
고분자약물전달,1,0,0,고분자공학전공,,,고분자공학전공:4-2
고분자재료1,1,1,1,고분자공학전공,고분자공학전공,고분자공학전공,고분자공학전공:4-1
고분자재료2,1,0,0,고분자공학전공,,,고분자공학전공:4-2
고분자재료학,1,1,1,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공:2-1
고분자캡스톤디자인,1,0,0,고분자공학전공,,,고분자공학전공:4-1
고분자콜로키움,1,0,0,고분자공학전공,,,고분자공학전공:3-1
고분자합성1,1,1,1,고분자공학전공,고분자공학전공,고분자공학전공,고분자공학전공:3-1
고분자합성2,1,0,0,고분자공학전공,,,고분자공학전공:3-2
고분자합성실험,1,1,1,고분자공학전공,고분자공학전공,고분자공학전공,고분자공학전공:3-1
고분자화학,1,0,0,화학생명소재전공,,,화학생명소재전공:3-1
고체화학,1,0,0,화학생명소재전공,,,화학생명소재전공:4-1
공업역학,1,0,0,토목공학전공,,,토목공학전공:1-2
공업화학,1,0,0,고분자공학전공,,,고분자공학전공:4-2
공정제어,1,0,0,화학공학전공,,,화학공학전공:4-1
공학수학,3,3,3,건축공학전공; 산업공학전공; 토목공학전공,건축공학전공; 산업공학전공; 토목공학전공,건축공학전공; 산업공학전공; 토목공학전공,건축공학전공:2-1; 산업공학전공:2-2; 토목공학전공:2-1
공학수학1,3,3,3,고분자공학전공; 신소재공학전공; 화학공학전공,고분자공학전공; 신소재공학전공; 화학공학전공,고분자공학전공; 신소재공학전공; 화학공학전공,고분자공학전공:2-1; 신소재공학전공:2-1; 화학공학전공:2-1
공학수학2,3,3,3,고분자공학전공; 신소재공학전공; 화학공학전공,고분자공학전공; 신소재공학전공; 화학공학전공,고분자공학전공; 신소재공학전공; 화학공학전공,고분자공학전공:2-2; 신소재공학전공:2-2; 화학공학전공:2-2
공학심리학,1,0,0,산업공학전공,,,산업공학전공:4-2
공학역학,1,1,1,건축공학전공,건축공학전공,건축공학전공,건축공학전공:2-1
공학연구1,2,0,0,고분자공학전공; 화학공학전공,,,고분자공학전공:4-1; 화학공학전공:4-1
공학연구2,2,0,0,고분자공학전공; 화학공학전공,,,고분자공학전공:4-2; 화학공학전공:4-2
광전자재료,1,0,0,신소재공학전공,,,신소재공학전공:4-2
구조BIM,1,0,0,토목공학전공,,,토목공학전공:2-2
구조계획,1,0,0,건축공학전공,,,건축공학전공:3-1
구조물계획과디자인,1,0,0,토목공학전공,,,토목공학전공:4-1
구조세라믹스,1,0,0,신소재공학전공,,,신소재공학전공:4-2
구조역학1,1,0,0,토목공학전공,,,토목공학전공:3-1
구조역학2,1,1,1,토목공학전공,토목공학전공,토목공학전공,토목공학전공:3-2
구조해석및실습,1,0,0,건축공학전공,,,건축공학전공:4-2
구조화학,1,0,0,화학생명소재전공,,,화학생명소재전공:3-1
그린에너지공학,1,0,0,신소재공학전공,,,신소재공학전공:3-2
글로벌커뮤니케이션,9,9,9,건축공학전공; 고분자공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공; 고분자공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공; 고분자공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공:1-1; 고분자공학전공:1-2; 산업공학전공:1-2; 소재디자인공학전공:1-2; 수리빅데이터전공:1-2; 신소재공학전공:1-2; 토목공학전공:1-1; 화학공학전공:1-2; 화학생명소재전공:1-2
글쓰기와발표,9,9,9,건축공학전공; 고분자공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공; 고분자공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공; 고분자공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공:1-1; 고분자공학전공:1-1; 산업공학전공:1-1; 소재디자인공학전공:1-1; 수리빅데이터전공:1-1; 신소재공학전공:1-1; 토목공학전공:1-1; 화학공학전공:1-1; 화학생명소재전공:1-1
금속재료실무1,1,0,0,신소재공학전공,,,신소재공학전공:3-1
금속재료실무2,1,0,0,신소재공학전공,,,신소재공학전공:4-1
기계적특성평가,1,1,1,신소재공학전공,신소재공학전공,신소재공학전공,신소재공학전공:2-1
기기분석,1,0,0,화학생명소재전공,,,화학생명소재전공:3-1
기능금속재료,1,0,0,신소재공학전공,,,신소재공학전공:4-2
기능성고분자,1,0,0,고분자공학전공,,,고분자공학전공:4-1
기능성어패럴제품설계,1,0,0,소재디자인공학전공,,,소재디자인공학전공:3-2
기능성유리,1,0,0,신소재공학전공,,,신소재공학전공:3-2
기초공학,1,0,0,토목공학전공,,,토목공학전공:4-1
기초대수학,1,0,0,수리빅데이터전공,,,수리빅데이터전공:3-2
기초수리학,1,0,0,토목공학전공,,,토목공학전공:2-2
기후변화적응수자원공학,1,0,0,토목공학전공,,,토목공학전공:4-1
나노바이오공학,1,0,0,화학공학전공,,,화학공학전공:2-1
나노융합화학,1,0,0,화학생명소재전공,,,화학생명소재전공:4-2
나노의학개론,1,0,0,화학생명소재전공,,,화학생명소재전공:4-2
나노전자재료응용,1,0,0,신소재공학전공,,,신소재공학전공:4-2
다변수해석학,1,0,0,수리빅데이터전공,,,수리빅데이터전공:3-1
대학수학1,9,9,9,건축공학전공; 고분자공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공; 고분자공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공; 고분자공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공:1-1; 고분자공학전공:1-1; 산업공학전공:1-1; 소재디자인공학전공:1-1; 수리빅데이터전공:1-1; 신소재공학전공:1-1; 토목공학전공:1-1; 화학공학전공:1-1; 화학생명소재전공:1-1
대학수학2,9,9,9,건축공학전공; 고분자공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공; 고분자공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공; 고분자공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공:1-2; 고분자공학전공:1-2; 산업공학전공:1-2; 소재디자인공학전공:1-2; 수리빅데이터전공:1-2; 신소재공학전공:1-2; 토목공학전공:1-2; 화학공학전공:1-2; 화학생명소재전공:1-2
데이터기반의사결정,1,0,0,산업공학전공,,,산업공학전공:4-2
데이터마이닝,1,1,1,산업공학전공,산업공학전공,산업공학전공,산업공학전공:2-2
데이터보안,1,1,1,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공:3-1
데이터분석,1,0,0,산업공학전공,,,산업공학전공:2-1
데이터분석(CapstoneDesign),1,0,0,수리빅데이터전공,,,수리빅데이터전공:4-1
데이터사이언스,1,0,0,산업공학전공,,,산업공학전공:3-1
데이터시각화,1,1,1,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공:3-2
도로공학,1,0,0,토목공학전공,,,토목공학전공:3-1
도시환경수문학,1,1,1,토목공학전공,토목공학전공,토목공학전공,토목공학전공:3-2
드론정보시스템,1,0,0,토목공학전공,,,토목공학전공:4-1
디자인공학리서치,1,0,0,산업공학전공,,,산업공학전공:3-1
디지털문해력,9,9,9,건축공학전공; 고분자공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공; 고분자공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공; 고분자공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공:1-2; 고분자공학전공:1-1; 산업공학전공:1-2; 소재디자인공학전공:1-1; 수리빅데이터전공:1-2; 신소재공학전공:1-1; 토목공학전공:1-2; 화학공학전공:1-1; 화학생명소재전공:1-1
디지털물류공학,1,0,0,산업공학전공,,,산업공학전공:4-2
디지털사진측량,1,0,0,토목공학전공,,,토목공학전공:4-2
딥러닝응용,1,0,0,산업공학전공,,,산업공학전공:4-1
마이다스구조해석,1,0,0,토목공학전공,,,토목공학전공:4-2
머신러닝,1,0,0,수리빅데이터전공,,,수리빅데이터전공:4-1
면역학,1,0,0,화학생명소재전공,,,화학생명소재전공:3-1
무기화학1,1,1,1,화학생명소재전공,화학생명소재전공,화학생명소재전공,화학생명소재전공:2-2
무기화학2,1,0,0,화학생명소재전공,,,화학생명소재전공:3-1
물디지털트윈모델링,1,0,0,토목공학전공,,,토목공학전공:3-1
물리화학1,3,1,1,고분자공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공,고분자공학전공,고분자공학전공:2-1; 화학공학전공:2-1; 화학생명소재전공:2-1
물리화학2,3,2,2,고분자공학전공; 화학공학전공; 화학생명소재전공,화학공학전공; 화학생명소재전공,화학공학전공; 화학생명소재전공,고분자공학전공:2-2; 화학공학전공:2-2; 화학생명소재전공:2-2
물리화학실험,1,0,0,화학생명소재전공,,,화학생명소재전공:2-2
미분방정식,1,0,0,수리빅데이터전공,,,수리빅데이터전공:2-2
바이오융합화학,1,0,0,화학생명소재전공,,,화학생명소재전공:4-1
박막공학,1,0,0,신소재공학전공,,,신소재공학전공:3-2
반도체공정,2,0,0,신소재공학전공; 화학공학전공,,,신소재공학전공:4-1; 화학공학전공:4-1
반도체소자,1,0,0,신소재공학전공,,,신소재공학전공:3-2
반응공학,1,1,1,화학공학전공,화학공학전공,화학공학전공,화학공학전공:3-2
범주형자료분석,1,0,0,수리빅데이터전공,,,수리빅데이터전공:2-2
병태생리학,1,0,0,화학생명소재전공,,,화학생명소재전공:3-2
복소해석학개론,1,0,0,수리빅데이터전공,,,수리빅데이터전공:4-1
분광학,1,0,0,화학생명소재전공,,,화학생명소재전공:3-2
분리공정,1,1,1,화학공학전공,화학공학전공,화학공학전공,화학공학전공:4-1
분석화학,1,0,0,화학공학전공,,,화학공학전공:2-2
분석화학1,1,1,1,화학생명소재전공,화학생명소재전공,화학생명소재전공,화학생명소재전공:2-1
분석화학2,1,0,0,화학생명소재전공,,,화학생명소재전공:2-2
비철금속재료,1,0,0,신소재공학전공,,,신소재공학전공:3-2
빅데이터마이닝,1,0,0,수리빅데이터전공,,,수리빅데이터전공:4-2
빅데이터의세계,2,0,0,산업공학전공; 수리빅데이터전공,,,산업공학전공:1-2; 수리빅데이터전공:1-2
산업안전공학,1,0,0,산업공학전공,,,산업공학전공:3-2
산업용섬유,1,0,0,소재디자인공학전공,,,소재디자인공학전공:4-2
산업인공지능,1,0,0,산업공학전공,,,산업공학전공:4-2
상하수도공학,1,1,1,토목공학전공,토목공학전공,토목공학전공,토목공학전공:2-2
색채기획,1,0,0,소재디자인공학전공,,,소재디자인공학전공:2-1
생명공학개론,1,0,0,화학생명소재전공,,,화학생명소재전공:2-1
생무기화학,1,0,0,화학생명소재전공,,,화학생명소재전공:3-2
생산계획및통제,1,0,0,산업공학전공,,,산업공학전공:3-2
생산정보시스템,1,0,0,산업공학전공,,,산업공학전공:4-1
생체의공학,1,0,0,화학공학전공,,,화학공학전공:2-2
생화학,1,1,1,화학생명소재전공,화학생명소재전공,화학생명소재전공,화학생명소재전공:3-1
서비스디자인,1,0,0,산업공학전공,,,산업공학전공:3-2
선형대수학,1,1,1,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공:2-1
세라믹공정,1,0,0,신소재공학전공,,,신소재공학전공:3-1
세라믹물성1,1,0,0,신소재공학전공,,,신소재공학전공:3-1
세라믹물성2,1,0,0,신소재공학전공,,,신소재공학전공:3-2
세포생물학1,1,1,1,화학생명소재전공,화학생명소재전공,화학생명소재전공,화학생명소재전공:2-1
세포생물학2,1,0,0,화학생명소재전공,,,화학생명소재전공:2-2
소재기획,1,0,0,소재디자인공학전공,,,소재디자인공학전공:2-2
소재디자인공학창의종합설계1,1,1,1,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공:4-1
소재디자인공학창의종합설계2,1,0,0,소재디자인공학전공,,,소재디자인공학전공:4-2
소재디자인산업진로분석,1,0,0,소재디자인공학전공,,,소재디자인공학전공:4-2
소재분석평가설계,1,0,0,신소재공학전공,,,신소재공학전공:3-2
소재제조공정설계,1,0,0,신소재공학전공,,,신소재공학전공:3-1
수리모델링,1,0,0,수리빅데이터전공,,,수리빅데이터전공:4-2
수리통계학,1,0,0,수리빅데이터전공,,,수리빅데이터전공:3-1
수치해석학1,1,1,1,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공:3-1
수치해석학2,1,0,0,수리빅데이터전공,,,수리빅데이터전공:3-2
스마트교량공학,1,0,0,토목공학전공,,,토목공학전공:4-1
스마트그린빌딩의이해,1,1,1,건축공학전공,건축공학전공,건축공학전공,건축공학전공:1-2
스마트물공학의이해,1,0,0,토목공학전공,,,토목공학전공:2-1
스마트물환경네트워크설계,1,0,0,토목공학전공,,,토목공학전공:3-2
스마트생산관리,1,1,1,산업공학전공,산업공학전공,산업공학전공,산업공학전공:3-1
스마트제조개론,1,0,0,산업공학전공,,,산업공학전공:1-2
스마트컨스트럭션,1,0,0,건축공학전공,,,건축공학전공:4-1
시스템시뮬레이션및실습,1,1,1,산업공학전공,산업공학전공,산업공학전공,산업공학전공:3-2
시스템최적화,1,0,0,산업공학전공,,,산업공학전공:2-2
시스템프로그래밍(CapstoneDesign),1,0,0,수리빅데이터전공,,,수리빅데이터전공:4-2
신뢰성공학,1,0,0,산업공학전공,,,산업공학전공:3-1
신소재가공학,1,1,1,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공:3-2
신소재기기분석,1,0,0,소재디자인공학전공,,,소재디자인공학전공:3-2
신소재기능성개질,1,0,0,소재디자인공학전공,,,소재디자인공학전공:4-1
신소재복합재료,1,0,0,소재디자인공학전공,,,소재디자인공학전공:4-1
신소재탄소재료,1,0,0,소재디자인공학전공,,,소재디자인공학전공:3-2
신소재합성,1,0,0,소재디자인공학전공,,,소재디자인공학전공:3-1
신재생에너지공학,1,0,0,화학공학전공,,,화학공학전공:3-1
실험계획법,1,0,0,산업공학전공,,,산업공학전공:3-2
심층기계학습이론및응용,1,0,0,수리빅데이터전공,,,수리빅데이터전공:4-2
암반역학,1,1,1,토목공학전공,토목공학전공,토목공학전공,토목공학전공:2-2
어패럴디자인,1,0,0,소재디자인공학전공,,,소재디자인공학전공:3-1
에너지석유화학,1,0,0,화학공학전공,,,화학공학전공:2-2
에너지소재화학,1,0,0,화학생명소재전공,,,화학생명소재전공:4-1
에너지재료설계,1,0,0,신소재공학전공,,,신소재공학전공:3-1
열및물질전달,1,1,1,화학공학전공,화학공학전공,화학공학전공,화학공학전공:3-2
열역학,1,1,1,화학공학전공,화학공학전공,화학공학전공,화학공학전공:3-1
염색가공실험,1,1,1,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공:3-2
염색공학,1,1,1,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공:3-1
웹프로그래밍,1,0,0,수리빅데이터전공,,,수리빅데이터전공:4-1
위상수학개론,1,0,0,수리빅데이터전공,,,수리빅데이터전공:4-2
유기재료개론,1,0,0,신소재공학전공,,,신소재공학전공:3-1
유기재료물성,1,0,0,신소재공학전공,,,신소재공학전공:3-2
유기재료응용,1,0,0,신소재공학전공,,,신소재공학전공:4-1
유기전자소재,1,0,0,소재디자인공학전공,,,소재디자인공학전공:3-1
유기정보소재,1,0,0,고분자공학전공,,,고분자공학전공:3-1
유기화학1,4,2,2,고분자공학전공; 소재디자인공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공; 화학생명소재전공,고분자공학전공; 화학생명소재전공,고분자공학전공:2-1; 소재디자인공학전공:2-1; 화학공학전공:2-1; 화학생명소재전공:2-1
유기화학2,4,2,2,고분자공학전공; 소재디자인공학전공; 화학공학전공; 화학생명소재전공,소재디자인공학전공; 화학공학전공,소재디자인공학전공; 화학공학전공,고분자공학전공:2-2; 소재디자인공학전공:2-2; 화학공학전공:2-2; 화학생명소재전공:2-2
유기화학실험,1,1,1,고분자공학전공,고분자공학전공,고분자공학전공,고분자공학전공:2-1
유전공학,1,0,0,화학생명소재전공,,,화학생명소재전공:3-2
유체역학,1,1,1,화학공학전공,화학공학전공,화학공학전공,화학공학전공:3-1
응용수학개론,1,0,0,수리빅데이터전공,,,수리빅데이터전공:3-1
의료용섬유신소재,1,0,0,소재디자인공학전공,,,소재디자인공학전공:4-2
이차전지재료,1,0,0,신소재공학전공,,,신소재공학전공:4-1
인간공학,1,1,1,산업공학전공,산업공학전공,산업공학전공,산업공학전공:2-1
일반물리학1,7,7,7,건축공학전공; 고분자공학전공; 소재디자인공학전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공; 고분자공학전공; 소재디자인공학전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공; 고분자공학전공; 소재디자인공학전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공:1-1; 고분자공학전공:1-1; 소재디자인공학전공:1-1; 신소재공학전공:1-1; 토목공학전공:1-1; 화학공학전공:1-1; 화학생명소재전공:1-1
일반물리학2,7,7,7,건축공학전공; 고분자공학전공; 소재디자인공학전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공; 고분자공학전공; 소재디자인공학전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공; 고분자공학전공; 소재디자인공학전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공:1-2; 고분자공학전공:1-2; 소재디자인공학전공:1-2; 신소재공학전공:1-2; 토목공학전공:1-2; 화학공학전공:1-2; 화학생명소재전공:1-2
일반물리학실험1,5,5,5,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공:1-1; 소재디자인공학전공:1-1; 신소재공학전공:1-1; 화학공학전공:1-1; 화학생명소재전공:1-1
일반물리학실험2,5,5,5,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공:1-2; 소재디자인공학전공:1-2; 신소재공학전공:1-2; 화학공학전공:1-2; 화학생명소재전공:1-2
일반화학1,7,7,7,건축공학전공; 고분자공학전공; 소재디자인공학전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공; 고분자공학전공; 소재디자인공학전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공; 고분자공학전공; 소재디자인공학전공; 신소재공학전공; 토목공학전공; 화학공학전공; 화학생명소재전공,건축공학전공:1-1; 고분자공학전공:1-1; 소재디자인공학전공:1-1; 신소재공학전공:1-1; 토목공학전공:1-1; 화학공학전공:1-1; 화학생명소재전공:1-1
일반화학2,5,5,5,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공:1-2; 소재디자인공학전공:1-2; 신소재공학전공:1-2; 화학공학전공:1-2; 화학생명소재전공:1-2
일반화학실험1,5,5,5,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공:1-1; 소재디자인공학전공:1-1; 신소재공학전공:1-1; 화학공학전공:1-1; 화학생명소재전공:1-1
일반화학실험2,5,5,5,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공:1-2; 소재디자인공학전공:1-2; 신소재공학전공:1-2; 화학공학전공:1-2; 화학생명소재전공:1-2
재료가공학,1,0,0,신소재공학전공,,,신소재공학전공:4-1
재료강도학,1,0,0,신소재공학전공,,,신소재공학전공:3-2
재료공학양론,1,0,0,신소재공학전공,,,신소재공학전공:3-2
재료과학,1,0,0,소재디자인공학전공,,,소재디자인공학전공:2-2
재료과학1,1,1,1,신소재공학전공,신소재공학전공,신소재공학전공,신소재공학전공:2-1
재료과학2,1,1,1,신소재공학전공,신소재공학전공,신소재공학전공,신소재공학전공:2-2
재료과학개론,1,0,0,고분자공학전공,,,고분자공학전공:2-1
재료분석법,1,0,0,신소재공학전공,,,신소재공학전공:3-1
재료상변태,1,0,0,신소재공학전공,,,신소재공학전공:3-1
재료안전실무,1,0,0,신소재공학전공,,,신소재공학전공:3-1
재료역학,2,1,1,건축공학전공; 신소재공학전공,건축공학전공,건축공학전공,건축공학전공:2-2; 신소재공학전공:3-1
재료역학1,1,0,0,토목공학전공,,,토목공학전공:2-1
재료역학2,1,0,0,토목공학전공,,,토목공학전공:2-2
재료열역학1,1,1,1,신소재공학전공,신소재공학전공,신소재공학전공,신소재공학전공:2-1
재료열역학2,1,1,1,신소재공학전공,신소재공학전공,신소재공학전공,신소재공학전공:2-2
재료의파괴와손상,1,0,0,신소재공학전공,,,신소재공학전공:4-1
재료전기화학,1,0,0,신소재공학전공,,,신소재공학전공:3-1
재료전산학,1,0,0,신소재공학전공,,,신소재공학전공:3-2
